,Session,Question,Question from,Party,Date Dated,Date Answered
29,2015-2016,"Mitt spørsmål går til finansministeren. 
I går besluttet styret på Rygge sivile lufthavn at flyplassen trolig nedlegges fra 1. november. Flyplassledelsen viser til flypassasjeravgiften som Fremskrittspartiet nå vil innføre. På Siv Jensens vakt kan altså 1 000 arbeidsplasser gå tapt på Rygge. NHO refererer til 5 000–6 000 arbeidsplasser som kan gå tapt på landsbasis, og det er meningsløst i en situasjon hvor Norge har en rekordhøy ledighet. 
Arbeiderpartiet er for å bruke avgiftssystemet for å redusere klimagassutslippene, men denne flypassasjeravgiften som Fremskrittspartiet nå vil innføre, er ikke en grønn avgift. Denne passasjeravgiftens klimaeffekt er like tvilsom som denne passasjeravgiftens forhistorie. Den ble ikke til etter grundige utredninger om effekten på miljø og arbeidsplasser. Den ble til uten utredning, som også Fremskrittsparti-statssekretæren bekreftet på radioen i dag tidlig. Nå ser vi prisen for dette dårlige håndverket. Den er høy. Den kan måtte betales av 1 000 arbeidstakere på Rygge flyplass. 
Siv Jensen ser skeptisk ut, men om hun ikke tror på mine ord, kan jeg minne om hennes egne. I et svar til Stortinget skrev hun at flypassasjeravgiften er en fiskal avgift. Det er et ærlig svar. Avgiften er en fiskal avgift som verken redder klimaet eller arbeidsplasser, heller ikke er den utredet. 
Men det finnes en annen vei. I Arbeiderpartiets alternative budsjett for 2016 foreslo vi en pakke med miljøavgifter som i sum vil gi samme inntekter som flypassasjeravgiften, i tillegg til at den vil ha effekt på miljøet. Bare en økning på 25 øre i veibruksavgiften på diesel vil bringe oss halvveis i mål med å redde arbeidsplassene på Rygge. Og det er ennå ikke for sent. Stortinget har ikke vedtatt revidert budsjett. De 1 000 arbeidsplassene kan fortsatt reddes hvis Fremskrittspartiet er villig til å svelge stoltheten og snu i en sak som er kommet aldeles galt ut. 
Så mitt spørsmål er: Vil Fremskrittsparti-lederen, finansministeren, lytte til de ansatte i Østfold, se at dette er et håndverk hun kan gjøre om, og bidra til å redde arbeidsplassene på Rygge? 
",Jonas Gahr Støre,Arbeiderpartiet,2016-05-25,2016-05-25
30,2015-2016,"I spørretimen 16. mars 2016 gjorde statsministeren det helt klart at regionalisering av leveringsplikt var en svært viktig del av regjeringens fiskeripolitikk. 18. mai 2016 varsler regjeringen at den skal håndheve en leveringplikt i Mehamn, i forbindelse med diskusjonen om Findus-etablering der. Dette er svært gledelige nyheter, men stikk i strid med regjeringserklæringen og statsministerens opplysninger i spørretimen.
Hva er regjeringens fiskeripolitikk nå, og er regionalisering forkastet?",Torgeir Knag Fylkesnes,Sosialistisk Venstreparti,2016-05-19,2016-06-01
31,2015-2016,"Regjeringen har med hjelp fra budsjettsamarbeidet med Venstre og KrF økt satsingen på skolehelsetjeneste. Helsedirektoratet har utarbeidet anbefalte bemanningsnormer for skolehelsetjenesten på bl.a. ett årsverk pr. 550 elever på ungdomsskolen og ett årsverk per 800 elever i videregående skole. 
Har statsråden som ambisjon å legge til rette for at norske kommuner kan nå disse målene?",Iselin Nybø,Venstre,2016-05-19,2016-05-25
32,2015-2016,"Regjeringen innfører fra 1. juni flyseteavgiften på 88 kr per sete på kommersielle ruter. Widerøe har varslet at dette kan medføre rutekutt.
Dersom flyseteavgiften fører til rutekutt fra flyselskapene, har statsråden en plan for å forhindre et dårligere flytilbud, bl.a. i områder hvor flytransport er det eneste reelle alternativet for de reisende?",Tone-Helen Toften,Arbeiderpartiet,2016-05-19,2016-05-25
33,2015-2016,"Et av de tverrfaglige temaene som foreslås som gjennomgående i et nytt læreplanarbeid, som regjeringen har varslet i Meld. St. 28 Fag - Fordypning - Forståelse, er folkehelse og livsmestring. 
Mener statsråden at det er riktig å sikre at elever i ungdomsskolen som del av dette får opplæring i hva voldtekt er, og hvordan det anmeldes og håndteres, eller hvordan vil statsråden legge til rette for slik kunnskap?",Rasmus Hansson,Miljøpartiet De Grønne,2016-05-19,2016-05-25
34,2015-2016,"Folk som blir utsette for valdtekt skal bli tatt på alvor, både i helsevesenet og rettsvesenet. Dessverre er det alt for mange saker som blir henlagt i dag.
Kva meiner statsråden er dei viktigaste grepa ein kunne tatt for å sikre at betydeleg færre valdtektssaker blir henlagte?",Jenny Klinge,Senterpartiet,2016-05-19,2016-05-25
35,2015-2016,"Seksuell og reproduktiv helse og mødrehelse har de senere år vært en hovedprioritet i norsk bistand. Norge tok bl.a. et ansvar for de gamle tusenårsmålene 4 og 5. For to uker siden var lederen av den afghanske jordmorforeningen i Oslo for å be om økt støtte til dette arbeidet i Afghanistan.
Vil utenriksministeren sørge for fortsatt støtte til mødrehelse i Afghanistan?",Marit Nybakk,Arbeiderpartiet,2016-05-19,2016-05-25
36,2015-2016,"Seksuell trakassering, voldtekt og seksuelle krenkelser er et samfunnsproblem som må bekjempes og forebygges. Det er få andre arenaer enn skolen som kan sikre at alle barn og unge lærer om, diskuterer og reflekterer rundt kjønn, kropp, seksualitet og grensesetting.
Hvilke nye, konkrete tiltak vil statsråden gjennomføre i skolen for å forebygge seksuell trakassering og voldtekt?",Kirsti Bergstø,Sosialistisk Venstreparti,2016-05-19,2016-05-25
37,2015-2016,"200 meter av riksveg 13 mellom Granvin og Voss raste ut i vatnet onsdag 27. april. Vegen er ei av hovudferdselsårene for indre Hordaland, og blant dei viktigaste aust-vest-sambanda mellom dei to største byane i Norge. Lokalt er det no eit stort ynskje om å få vurdert lang tunnel som permanent løysing langs Granvinsvatnet. I svar til Stortinget har regjeringa ikkje svara tydeleg på om forlenging av Jobergtunnelen vil verte vurdert som eit alternativ.
Vil statsråden ta initiativ til ei slik vurdering?",Kjersti Toppe,Senterpartiet,2016-05-19,2016-05-25
38,2015-2016,"I rapport av juni 2015 om handlingsplanen mot vold i nære relasjoner viser regjeringen til at mange barn og unge utsettes for voldtekt, og at overgrepene ofte starter tidlig i barneårene, men forblir skjult. Det er viktig at slike overgrep avdekkes tidlig.
Vil statsråden ta initiativ til å endre kompetansemålene for utdanning av lærere, barnehagelærere, barnevernspedagoger, helse- og sosialarbeidere mfl., til å inkludere kunnskap om seksualisert vold og overgrep samt typiske tegn på dette?",Lise Christoffersen,Arbeiderpartiet,2016-05-19,2016-05-25
39,2015-2016,"Voldtekt er alvorlig for dem som rammes, spesielt barn og unge kan få mange vanskelige år foran seg etter slike overgrep. Omfangskartlegging viser at så mange som 5 pst. av de som voldtas, blir voldtatt når de er under 18 år. Regjeringen har valgt ikke å øremerke midler til etterforskning og avhør av voldtektsofre.
Hvordan vil statsråden konkret følge opp og sikre at kvinners anmeldelser tas alvorlig og at det settes av tilstrekkelig etterforskningskapasitet?",Kari Henriksen,Arbeiderpartiet,2016-05-18,2016-05-25
40,2015-2016,"Ifølge fleire aviser viser evalueringa til Politidirektoratet at den svært uvanlege situasjonen på Storskog i haust, då det kom rekordmange asylsøkjarar, fekk utvikla seg i fleire veker før han vart teken på alvor. Politimeisteren i Aust-Finnmark sende eit varsel allereie 9. september, og ifølge denne rapporten var politiet ikkje forberedt på tilstrøyminga, dei mangla både kompetansen, bemanninga og infrastrukturen som skulle til. Verken politiet internt eller politiet og myndigheitene såg ut til å samarbeide godt nok. No er jo dette ei foreløpig evaluering, men den teiknar likevel eit ganske tydeleg bilde: at kriseforståinga mangla i Politidirektoratet, at politisk leiing sitt leiarskap var fråverande og når det gjeld varselet frå det ytste leddet, altså politiet sjølv, på bakken, i Aust-Finnmark, vart dei ikkje vist nok tillit.

Når det gjeld dei daglege rutinane i Politidirektoratet, er det noko Politidirektoratet sjølv er ansvarleg for, men når det gjeld kriseforståinga i ein krisesituasjon, er det til sjuande og sist justisministeren som er ansvarleg for det – altså at varselet ikkje vart teke alvorleg nok tidleg nok, og at norske myndigheiter mangla tilstrekkeleg kontroll over Storskog grensestasjon over lengre tid.

Spørsmålet er kvifor det tok så lang tid for regjeringa å forstå at krisen ved Storskog var ein nasjonal krise.",Hadia Tajik,Arbeiderpartiet,2016-05-11,2016-05-11
41,2015-2016,"Spørsmålet mitt går til forsvarsministeren.

Regjeringa har varsla eit norsk militært bidrag til deltaking i kampen mot ISIL, eit bidrag i Jordan, men som ein ikkje kan sjå bort frå etter kvart òg vil operere inn i Syria. Det betyr at Noreg no vil vere tungt involvert i ein ny stor regional væpna konflikt. Vi vil ha eit bidrag i Irak og eit i Jordan og Syria.

Samtidig er det denne våren fem år sidan krigen i Libya, der Noreg deltok i ein militær operasjon med det opphavlege formålet å beskytte sivile, men som etter kvart førte fram til eit regimeskifte i Libya. Mykje kan seiast om Libya, men eg trur det kan vere mogleg å skape brei einigheit om at Libya i dag er ein av dei statane som fungerer aller dårlegast i verda, og har massive utfordringer – frå det humanitære til sjølve styret av samfunnet – utan at eg eingong skal antyde at Libya var eit spesielt lysande eksempel på eit velfungerande land før det.

Likevel er det slik at den omfattande norske militære innsatsen den våren, og mandatet rundt endringane som skjedde rundt det, ikkje har vore gjenstand for ei brei og ekstern evaluering til no, sjølv om det har vore ganske betydeleg offentleg debatt om bidraget og om tanken om ei evaluering. Eg ville vel sagt at det ville vore klokt å evaluere den innsatsen før ein no gjekk i gang med ein ny i den same regionen, men det er for seint no. Det er derimot ikkje for seint å evaluere det og trekkje lærdom av det som skjedde då, til seinare. Så spørsmålet mitt er: Vil forsvarsministeren føreslå og ta initiativ til ei brei og ekstern evaluering av det norske militære Libya-bidraget?",Bård Vegar Solhjell,Sosialistisk Venstreparti,2016-05-11,2016-05-11
42,2015-2016,"«Frihet fra overvåking er en grunnleggende verdi i enhver rettsstat.» Det er et godt sitat. Det er ikke mitt sitat, det er justisministerens sitat fra da han var stortingsrepresentant – og vi sammen sto på disse talerstolene og hadde et likt engasjement for å få stoppet datalagringsdirektivet og for å sørge for at personvernet ble løftet høyt. Da var vi mange på laget, sjøl om vi hadde for mange mot oss. Da sa også statsråden:

«Vi skryter av å være en nasjon hvor individet er fritt og rettssikkerheten godt ivaretatt. Etter min oppfatning er frihet fra overvåking en helt grunnleggende del av frihetsbegrepet.» 

Han hadde også støtte fra mange som senere har blitt statsråder, som statsråd Per Sandberg, som sa at for Fremskrittspartiet er det slik at fravær av overvåking er en del av velferden. Tord Lien sa at det handler om å beskytte mindretallet og beskytte enkeltmennesket mot overgrep fra flertallet. Statsråd Jon Georg Dale sa at Trine Skei Grande har veldig rett når hun sier at morgendagens generasjoner vil felle en dom over dette forslaget. Det ble vedtatt i Stortinget, men ble stoppet av EU.

Nå har statsråden vært statsråd i snart tusen dager. Han har fått mange av de gutta fra den debatten med på laget, innad i regjeringa. Så nå er mitt spørsmål til justisministeren: Når han har sittet og hatt makt i snart tusen dager – hvilke initiativ har statsråden tatt for å styrke personvernet i Norge? Og når han har fått de folka han hadde på laget i datalagringsdirektivdebatten, inn i regjering – hvordan har han da brukt det engasjementet for å styrke personvernet i Norge?",Trine Skei Grande,Venstre,2016-05-11,2016-05-11
43,2015-2016,"Spørsmålet mitt går til justisministeren.

Det er krevjande for politiet å skulle gjennomføre ei stor politireform samtidig som dei skal oppretthalde godt politiarbeid. Senterpartiet ønskte ei anna politireform enn den reforma som vart vedteke, fordi vi meiner det blir lagt til rette for langt større sentralisering enn det stortingsfleirtalet vil innrømme. No varslar fleire politidistrikt om at dei har for få ressursar, og somme prioriterer ope ned vinningskriminalitet fordi dei ikkje rår med alle oppgåvene. Vi får også høyre at det går utover oppfølging av meir alvorleg kriminalitet og det førebyggjande arbeidet.

Senterpartiet har problematisert dette tidlegare og åtvara mot moglege problem undervegs i gjennomføringsfasen av reforma. Eg meiner det er all grunn til å trekkje i tvil om regjeringa har lagt godt nok til rette for at politidistrikta skal kunne yte gode nok tenester til befolkninga, samtidig som dei skal gjennomføre politireforma, for ein kan jo spørje seg: Viss problema i politidistrikta ikkje har noko med politireforma å gjere, kva er då årsaka?

Framstegspartiet har stått fram som ein garantist for at politiet skulle få tilstrekkeleg med ressursar, vel å merke før dei kom i regjering. Det kan verke som om regjeringa og statsråden ikkje har vore førebudd på kor krevjande det vil bli å gjennomføre ei slik reform, og kor mykje ekstra det krev for at politiet skal kunne oppretthalde god tenesteproduksjon undervegs.

Spørsmålet mitt er som følgjer: Har det oppstått større problem enn regjeringa føresåg i gjennomføringsfasen av politireforma, eller har ikkje statsråden sørgt for at politidistrikta har nok ressursar til å klare denne fasen?",Jenny Klinge,Senterpartiet,2016-05-11,2016-05-11
44,2015-2016,"Vi skriver mai måned, og tradisjonen tro er russetida godt i gang. Og selv om en ser mange trøtte fjes for tida, er det fortsatt en uke igjen av russetida.

For de aller fleste er russetid gøy, moro – mye kjekt som skjer – men dessverre er det ikke det for alle. I fjor var det første gang Kripos kategoriserte voldtektsanmeldelser relatert til russetid. Det resulterte i elleve anmeldelser i selve russetida og noen i etterkant. Kripos uttaler at halvparten av disse grenser til overfallsvoldtekter, og av de elleve voldtektene var det tre som hadde flere enn én gjerningsmann. I tillegg til de elleve voldtektene vet vi at det er store mørketall. Altfor mange opplever ubehagelige episoder, overgrep eller voldtekt i løpet av russetida. Det ødelegger ikke bare russefeiringa, men det ødelegger og kan få alvorlige konsekvenser for resten av livet.

Også i år har vi fått melding om russ som er blitt voldtatt.

Omkring 1 000 voldtekter blir anmeldt hvert år. Som nevnt er det store mørketall. For mange er det et høyt steg å anmelde. Etterforskinga kan være en ubehagelig og vanskelig – og kanskje også en ny – belastning for ofrene. Derfor er det svært alvorlig at oppklaringsprosenten de siste årene bare er 18–25, altså henlegges omtrent 80 pst. av alle voldtektsanmeldelsene. Dette fører til at gjerningspersoner kan gå fri og kan gjenta handlinga, og det fører til en ekstra belastning for ofre.

Mitt spørsmål går til justisministeren. Jeg lurer på hva han gjør for å sikre at politiet har kompetanse, har nok ressurser og prioriterer etterforsking av voldtekter.",Kjell Ingolf Ropstad,Kristelig Folkeparti,2016-05-11,2016-05-11
